,title,date,content,verified_product,rating
98,Prasanth S,2021-12-02,Normal usage ok. Camera is not good,Verified Purchase,3
99,Mehul,2021-11-19,Camera is very low,Verified Purchase,5
100,Naren naresh,2022-01-03,Worst of buying... Not as much expected,Verified Purchase,1
101,Pallavi,2021-11-19,Worth of money,Verified Purchase,5
102,Amazon Customer,2021-11-04,Very good,Verified Purchase,4
103,Girish Dange,2022-02-14,,Verified Purchase,4
104,Vijayan,2021-11-25,I month after display block,Verified Purchase,1
105,Basanagouda.Anand.Holeyachi,2021-11-28,Okk,Verified Purchase,5
106,LALIT UPADHYAY,2021-12-28,Battery charging very slow,Verified Purchase,3
107,BALIRAM GAVHANE,2021-11-15,No,Verified Purchase,5
108,Tupakula N.,2022-02-21,Display quality very poor,Verified Purchase,3
109,Amazon Customer,2022-01-01,Resolution quality is low,Verified Purchase,3
110,Wasim Shaikh,2021-12-01,It's good working,Verified Purchase,4
111,PRADEEP Kumar,2022-01-04,Hagigng problem,Verified Purchase,2
112,AMOD KUMAR SHARMA,2022-03-10,Bahut hi khrab set hai,Verified Purchase,1
113,Aman sharma,2021-11-27,Battery life very poor,Verified Purchase,2
114,Murugadass K,2021-11-20,Value of money,Verified Purchase,5
115,Vineeta Tomar,2021-09-13,I like this phone. It's Fabulous,Verified Purchase,4
116,Lalit yadav,2022-01-05,Nice,Verified Purchase,5
117,PRAVEEN KUMAR,2021-11-14,Good product,Verified Purchase,3
118,Amazon Customer,2021-11-12,Good product,Verified Purchase,5
119,Appala Raju,2021-12-05,Bad camara quality.,Verified Purchase,4
120,Narendra Shahi,2021-10-29,Do not support the PUBG,Verified Purchase,3
121,Stevan Macwan,2022-02-16,Good phone,Verified Purchase,5
122,avi,2021-12-05,Value for money.,Verified Purchase,4
123,Ajit Deshpande,2021-12-06,Good 👍,Verified Purchase,5
124,Kadavakolluram,2021-12-02,Phone not good,Verified Purchase,4
125,Arif husssain,2021-11-20,Waste of money,Verified Purchase,1
126,Aishwarya Avhad,2021-09-17,Operating System is Best,Verified Purchase,5
127,Neeraj e,2022-01-20,All is good👍,Verified Purchase,5
128,Rakshit,2021-08-24,Very nice qulaity and nice camera .storage is showing 8 gb ram 128 gb but there is internal extra ram of 4gb so total 12gb which is surprising for me.phone is value for money .I recommend everyone to buy it .,,5
129,joseph.r,2021-09-28,Valu for money,Verified Purchase,3
130,Bharat Lakhtariya,2022-01-09,Mind blowing,Verified Purchase,5
131,shaik Irfan,2021-11-15,This is like,Verified Purchase,4
132,Mepal Singh,2022-01-01,Good,Verified Purchase,5
133,Gajendra Behera,2021-11-18,Good,Verified Purchase,5
134,rustam ansari,2021-12-06,Nice,Verified Purchase,4
135,Aswinee Kumar Sahoo,2022-03-09,,Verified Purchase,5
136,Sharandeep singh,2022-01-11,Awesome,Verified Purchase,5
137,Rohit thakur,2021-10-12,Camera quality is bad,Verified Purchase,2
138,Dsouza,2021-09-12,"Before purchasing this phone i called vivo customer care, lady told me that this mobile is not coming with google dailer, that's why i purchased this mobile. Now after buying this i am struggling. Vivo customer care cheated me.
And i am facing below issues in my mobile
1. This mobile comes with the Google dailer. Which is the worst dailer, while recording the call other person will hear 'THIS CALL IS BEING RECORDED'. So there is no sense of giving the call recording feature.
2. There is no option to remove the google dailer( which is the default dailer)
3.battery backup is not good, because of the light weight battery drains too fast
4. Camera performance is poor ( not worth for this price range)
5. Audio clearity of voice call is not at all good.
6. There is no default video call option.",,1
139,Javed hussain,2022-01-20,Good,Verified Purchase,5
140,M Saravanan,2021-12-24,Good,Verified Purchase,4
141,shivam shukla,2022-01-28,Ok,Verified Purchase,3
142,Nagarajan,2021-12-18,,Verified Purchase,2
143,Dipu dutta,2021-12-01,,Verified Purchase,5
144,Ranjan Kumar Jha,2021-10-22,,Verified Purchase,1
145,Valairat (tukta),2021-11-25," Build quality - 8/10
Really good and tight build with creaking sounds. But, if they had given a real glass back and Corning's gorilla glass at front would be great.
As of now, I am unsure of protection of front glass.

Design - 9.5/10
I just love the colour Midday Dream.... So beautiful 😍
And one of my criteria was to have a flat frame on the sides.... This phone is very good to hold and feels light... but after holding for about 10 mins, it becomes slippery. Wear a case for phone and use it..

Display - 7/10
Colours are very very close to amoled displays, but lcd is a lcd, and blacks are not blacks.... And refresh rate is still 60hz..
Brightness was decently enough though....

Loud speaker - 8/10
Good, but not loud enough. Bass could be a little more, but it gets the job done...

Earpiece (Calling speaker) -11/10
Extremely loud and quality was very very good. And there were no interruptions from proximity sensor in call... You can try playing a video while calling and you can test the speaker in the ways you want.

3.5mm jack output - 11/10
Sound quality was really outstanding.... Definitely the best I have used so far.... I was using the inbox headsets and realme buds 2...
I saw a person asking whether it has Dolby Atmos or no.. the answer is no.
But it has a technology called ""Deepfield"" and it is identical to Dolby Atmos in Samsung phones... Mega bass mode is recommended.

Inbox headset -9.5/10
High quality headsets. Good bass, almost equal to realme buds 2. But buttons had a delay when responding.

Performance -5/10
Yes, yes, yes. Mediatek helio G80 is definitely not for gaming, but it is power efficient. But day to day tasks like opening WhatsApp, browsing news, etc. were fine. But those who need aggressive power, spend extra Rs.2000 and buy Y73 or go for POCO X3 pro. I haven't played any games, so I unable to tell about that.

Battery - 9/10 , Charging - 7/10
Battery is excellent. It can even beat few Samsung phones that have 5000mah battery. Well optimised. Charging is good for 18w. Please prefer for slower charging phones as charging fast will make the battery to drain and degrade fast... I was using a phone with 5000mah battery with 33w fast charging. Guess what, battery gets down very fast.

CAMERAS...... 6/10
To be frank, it performed somewhat okay. Colours were true to life, and look good in daytime. But at night, the camera was average... Even with the night mode, it performed above average(for both rear and front). But the gallery app has magic eraser, which is very famed for the recent Pixel phone. Videos were good, but no option to turn of stabilization. Recording is capped to 1080p 30 max. So if you need 1080p 60, or 4k 60, download ""open camera"" to use it.

Software and biometrics -8/10
Software was excellent. Feature rich and similar to stock Android. Few bloatwares very present while set up. You can even customise the charging animation of the phone! Android 12 beta test might start from March 2022. But this phone has Google dialer and messaging app. I was very disappointed to see this. Fingerprint reader was fast and face unlock is also good.

Verdict,
If you are a hardcore fan of vivo or you need a phone with really good battery or you need a phone with big display and best design, this the phone for you....

Hope this might help in purchasing this phone..... Have a great day ☺️",,4
146,Akash Kumar,2021-09-13,,,1
147,Akash Pandey,2021-09-10," Charging is faster than any other phones, Light wait which make it more genuine products, Battery backup is not so good but it's good if you see a light wait phone then battery shortage is a normal thing.",,4
148,Sumit,2021-09-14,Ghatiya phone hai mere phn ko 1 week hua hai muje sale karna hai koi hai lene wala mai usko de dunga ....15 me ...muje maza ni aaya,,1
149,Amazon Customer,2021-10-10,"Worst phone ever I used . After purchasing of phone in 3days started hanging,while playing games in 2mins mobile getting heat ,while calling or recieving calls mobile hanging,this is the failure phone ,waste of money really I have good opinion on vivo after using this ph I dnt want to buy vivo phones. I lost my money and getting frustation to use this mobile.

Waste of money....",,1
150,Amazon Customer,2021-10-12,"I didn't like the product, its not light weight. Also the operating is very slow, not so good features. Response to any action is very slow. When i was purchasing i found few comments mentioning same but i ignored and purchased. Camera quality is very low , its not like how its mentioned on features. Im upset with the phone and waste of money for me",,1
151,Kanhaiya,2021-09-16,"Very good mobile
Vivo y 33s
Very nice quality Selfie and back camera
Good luking mobile I am fully stifided",,5
152,Sanjay kumar jha,2021-09-28,Worst phone ever I buy it few hours ago and camera is worst Quality ghatiya very bad ex perience don't buy it,,1
153,Nomendra patle,2021-10-12,"Very nice mobile ,camera super , battery pickup super ,,vivo is best , , , , , , , ,",,5
154,Donga Bhavana,2021-11-05,Worst phone dont buy this phone waste of money and call dropping problem and notifications problem and voice problem and waste model,,1
155,swamypvs,2022-02-27,"Please do not purchase this product, this product is very tiring. Even though i read the negative comments i still took this and got quite disappointed. Also u wont have exchange offer for this model because its such a worst product so they are also not taking back. Please do not buy it",,1
156,Aditya Singh,2022-01-14,"Amazing phone, excellent! Runs with no lag at all. Features are all amazing! I personally love it! Battery, processor, camera, specs all are tuned to make it amazing!",,5
157,Gopal prajapat,2021-10-13,"Vivo y33s handset auto call recording not supported.
Worst handset vivo y33s. Loss our money. Pls don't buy any vivo handset.
Buy other mobile realme, redme or another mobile.",,1
158,HEMANT B.,2021-09-07,"Camera quality is decent
Light weight
50 MP camera is superb
8+4 GB Ram makes faster
128 GB Rom is enough
Helio G80 gaming processor",,5
159,Anurag sing,2021-11-08,Worst camera quality in 19k phone.vivo y 33s camera is not good dont by this phone this phone looks nice only.,,1
160,Amit Dipak Dhamgaye,2021-10-15,"Excellent Mobil
No more any Requirement
Battery Display Cemera
Very Good
Happy
For Parchess
good 🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂🙂
Vivo y33s 8 128",,4
161,Jitu,2022-02-03,Battery life is very good ..n weight is very handy..! Superb phone awesome n Grt ..go n buy it !,,4
162,Harpreet Singh,2021-10-22,Excellent phone Y33s. Really Happy 😃😁 every Features is best. Highly recommended this Phone 🤳. You can buy without any choice.,,5
163,deepa,2022-02-16,"It's waste of maney plz don't buy , vedio clarity is too bad and sound is also very less compared to oppo totally it's bad phone of my self.",,2
164,Ashish sahu,2021-10-30,"Buy it 18k best mob under 20k
All features are good better performance
Super camera 50 megapxl with selfi camera 16 mega pixel",,5
165,Anjali,2021-11-21,This phone should also have 5G in this price range. And the phone hangs so much that it takes me 5 minutes to open the contact list,,1
166,S D Kaushik,2021-10-28,Like the looks but screen is not super amoled and getting really slow and getting hanged with a month usage.xiaomi is a better option,,2
167,JB Singh Rajawat,2021-10-13,"Best performance I like best features
Battary +camra looking very beautiful best phone 20 k in other best phone vivo y33s",,5
168,Rohan,2021-11-27,"Excellent product. You bought only this

Good device in thiss price....

Vivoy33s good p h o n e ok

Good",,5
169,Karan saroj,2022-01-04,vivoy33s is very nice I'm so happy 👌 camera battery fingerprint very good i like you vivo. ....😙👌 gret pic,,5
170,Veer bahadur chauhan,2021-11-06,,,5
171,Dia Alphonso,2021-10-22,Phone a lil heavy Coz it glass ..it's gonna mirror at the back I mean mirrored glass so can do makeup on the go jokes apart fabulous screen resolution amazing camera quality at par excellence at affordable price of 19k got it on zest money app for 6 months interest free emi gets yours one today ..happy shopping ..thank you Amazon prime for deliverying same evening at no cost which really helped before my weekend plans kicked in,Verified Purchase,5
172,Vinit,2021-11-10,Very lightweight and best you could get in this price range. The build quality might seem cheap due to its lightweight nature.,Verified Purchase,4
173,shankargee,2021-09-25,Good,Verified Purchase,5
174,GIRISH WAGLE,2021-11-06,"My earlier mobile was also Vuvo 1718 & so have upgraded it now with this. As expected, works absolutely fine.",Verified Purchase,5
175,Mohammed Imran Kazi,2021-10-26,Really happy with the purchase. The phone is worth the price. Excellent looks and premium finish.,Verified Purchase,5
176,Rajan sharma,2021-11-16,Good,Verified Purchase,5
177,Nirmal.M.S.,2021-10-24,First up all hatsoff to Vivo for bring such an amazing phone. It blew away ma expectation as I saw it wow wat a colour wat a smooth phone good camera nice fingerprint reader awesome mind blowing,Verified Purchase,5
178,jayshree t.,2021-10-13,,Verified Purchase,5
179,Ajay T,2021-10-16,"Liked it, big screen & got good exchange offer + bank discount, side lock finger print is also good.",Verified Purchase,5
180,Rajkumar V,2021-11-01,"Very good product. Value for money. Only setback notification led light not available. Charging is slow with 18w charger, need to improve",Verified Purchase,4
181,Pangky Saputra,2021-10-15,Worth for quality and prices,Verified Purchase,5
182,vivek dogra,2021-10-04,Quality of phone is ok,Verified Purchase,5
183,mustafa,2021-10-11,good phone,Verified Purchase,5
184,Madan Bhosale,2021-10-01,I like it’s colour and capacity,Verified Purchase,5
185,piyush,2021-12-01,Good,Verified Purchase,5
186,K ABRAHAM MATHEW,2021-10-24,Simple to use. All the features are included in the model which an average user requires,Verified Purchase,5
187,Ch v gowripathi,2021-10-20,,Verified Purchase,5
188,sunny yadav,2021-11-05,Camera jabardast hai aur 18 min me fast charging full ho rahi. Camera jabard Aswome mob hai aakh band kr ke le skte hai aao log,Verified Purchase,5
189,Patel Nayan,2021-09-30,Superb phone🥳,Verified Purchase,5
190,mrityunjoy,2021-10-10,"Excellent battery back up, photo quality is so nice. Light weight",Verified Purchase,5
191,Dhanasekaran Gopal,2021-10-21,"Good product
Good delivary
Thanks vivo
Thanks amazon",Verified Purchase,4
192,P K Jha,2021-10-30,"Good phone, light weight, slim body. Smooth functioning.",Verified Purchase,5
193,PRADEEP PACHAURI,2021-10-16,Best quality camera and bettery backup is Great...,Verified Purchase,5
194,Mamta Sharma,2021-10-07,,Verified Purchase,5
195,balan Krishnan,2021-09-28,போன எங்களுக்கு ரொம்ப பிடித்துள்ளது,Verified Purchase,5
196,Amazon Customer,2021-10-14,,Verified Purchase,4
197,maria,2021-11-06,Nice,Verified Purchase,5
198,Deepu Bind,2021-10-15,Amazing phone unde 20000.,Verified Purchase,5
199,Narayanan TS,2021-10-21,Very good phone with 8GB ram,Verified Purchase,5
200,Gurpreet S.,2021-10-17,Nice look full pessa Casel.,Verified Purchase,5
201,Rahul,2021-10-16,Mst,Verified Purchase,5
202,Krishan Ravathi,2021-10-25,Super phone good,Verified Purchase,5
203,Rajesh Kumar,2021-09-26,Nice Mobile,Verified Purchase,5
204,Rahul,2021-10-02,Very good product,Verified Purchase,4
205,Abhijeet Mohanty,2021-10-19,Simply best,Verified Purchase,4
206,Amod Dubey,2021-10-27,Very good,Verified Purchase,5
207,jashvant,2021-10-16,Thanky,Verified Purchase,5
208,Amazon Customer,2021-10-03,Good mobaile,Verified Purchase,5
209,Sameer kumar,2021-10-14,Nice phone,Verified Purchase,4
210,MOHD ATIF ANWAR,2021-10-15,🙂🙂🙂,Verified Purchase,5
211,Srikanth,2021-09-29,Good,Verified Purchase,5
212,Nagireddy Kanala,2021-10-27,Good phone the recorder is not up to mark j have not used pringerprint the rate is within the amount,,4
213,RUPALI SAXENA,2021-11-02,FUNTOUCH OS ...IS VERY BED AND POOR ...DEAR FRIENDS DON'T BUY FUN TOUCH OS BASED MOBILE OTHERWISE MONEY IS TOTALLY WEST.,,1
214,Huvanagouda patil,2022-01-17,"Fingerprint reader is excellent and this feature is with power button, camera quality is also good. Vivo y33s is comes with 5000ma battery.",,5
215,SATYANARAYAN PRADHAN,2022-03-26,Duplicate,Verified Purchase,1
216,Dilip chhetri,2022-03-21,Online clasess,Verified Purchase,3
217,Jaya,2022-04-05,Sach a nice phone thank u Amazon for giving me great deal.,Verified Purchase,5
218,rose,2022-03-31,i didnt like the picture quality not worth the money,Verified Purchase,1
219,Sekhar Mistri,2022-03-27,"Ordered 2 phones of same model. Worst phone ever had. Having 8GB Ram works like 2GB,my previous honor 9N works better than this phone. It lags like anything and that too while making calls. Either contact list will not appear or dial screen does not gets clear after pressing hang up button. Total Waste of money 17990/-x 2=37980/-",Verified Purchase,1
220,Vignesh,2022-04-07,"Likes:
1. Availability of 4gb virtual RAM, in addition to 8gn RAM.
2. Camera quality is good in daylight. Though the night capture mode is good, could improve
3. For 128gb internal storage, this is a starting range phone available

Dislikes:
1. Wi-Fi connectivity is the poorest. The phone is not able to support any sort of Wi-Fi connectivity. Often it either gets disconnected or browsing using Wi-Fi is very slow. If you use the speed test, actual speed of Wi-Fi would come up, but browsing is the worst",,3
221,Kaif ali,2022-01-01,"Writing review after 1 month, camera quality is fantastic 😉, bokesh mode is so good for beginners.
I suggest to buy this product without any doubt.",,4
222,PRADEEP SIROLA,2022-03-23,"Fingerprint reader is not upto the mark. Otherwise a nice phone with pretty good camera, interface and battery life",Verified Purchase,5
223,Tanvi Rajput,2022-03-11,"I buy this mobile for mostly use selfie, now I see selfie quality no clear,very bad experience, front camera not good",,2
224,Deepak Raj,2022-04-09,Everything is perfect don't think extra and purchase the phone there is good Value of price an awesome product ☺️ i am really satisfied with this 🤠,,5
225,Jijo m.,2022-03-21,Very sad about your service. After three days from purchase charging is not happen this phone. Powerbank charging is ok. But original charger charging is not working.I complained and i got an appointment from Amazon. But service man not came into my office and not solve this problem.I got a Rescheduled appointment today. Same happen this time also. Please give mean ultimate solution.,Verified Purchase,1
226,Mohd Arif khan balrampur UP,2022-04-10,Finger print very good work battery life good 30min only full charge,Verified Purchase,5
227,Amazon Customer,2022-03-23,Good working and nice mobile,Verified Purchase,5
228,manivannan j,2022-03-27,Super battery good camera ok,Verified Purchase,4
229,Karun Kumar sharma,2022-03-31, Mobile damage aaya h,Verified Purchase,1
